date,inpatient_beds,state,series_complete_yes,booster_doses
2022-01-30,532827.3,NC,6110141.285714285,1447671.5714285714
2022-01-30,532827.3,RI,833588.0,409659.0
2022-01-30,532827.3,MT,589520.2857142857,260989.14285714287
2022-01-30,532827.3,MS,1485723.0,505520.0
2022-01-30,532827.3,AK,426192.28571428574,166331.0
2022-01-30,532827.3,MP,41925.0,16859.571428571428
2022-01-30,532827.3,AL,2418541.0,789220.5714285715
2022-01-30,532827.3,AR,1586317.0,568249.5714285715
2022-01-30,532827.3,AS,36932.28571428572,4918.714285714285
2022-01-30,532827.3,AZ,4267497.428571428,1564110.142857143
2022-01-30,532827.3,CA,27158796.85714286,11749803.285714285
2022-01-30,532827.3,CO,3918744.4285714286,1854058.5714285714
2022-01-30,532827.3,DC,492648.5714285714,158938.7142857143
2022-01-30,532827.3,DE,643148.2857142857,263214.5714285714
2022-01-30,532827.3,FL,13944408.57142857,5122560.142857143
2022-01-30,532827.3,GA,5596231.0,1854053.4285714286
2022-01-30,532827.3,GU,130248.14285714286,41933.142857142855
2022-01-30,532827.3,HI,0.0,0.0
2022-01-30,532827.3,CT,2723394.8571428573,1259719.857142857
2022-01-30,532827.3,ID,919579.1428571428,364788.85714285716
2022-01-30,532827.3,IA,1900240.142857143,942992.4285714285
2022-01-30,532827.3,MN,3773041.285714286,2012566.5714285714
2022-01-30,532827.3,MI,5797877.714285715,2776103.8571428573
2022-01-30,532827.3,ME,1040473.5714285715,537170.2857142857
2022-01-30,532827.3,MD,4376900.142857143,1994612.142857143
2022-01-30,532827.3,MA,5254082.0,2463803.8571428573
2022-01-30,532827.3,MO,3328100.1428571427,1295391.857142857
2022-01-30,532827.3,KY,2481522.1428571427,1015690.8571428572
2022-01-30,532827.3,KS,1715888.5714285714,672741.4285714285
2022-01-30,532827.3,IN,3573607.8571428573,1506646.7142857143
2022-01-30,532827.3,IL,8351727.0,3885494.8571428573
2022-01-30,532827.3,LA,2400373.714285714,865407.2857142857
2022-02-06,530293.7,PA,8442218.142857144,3374959.0
2022-02-06,530293.7,OR,2866578.1428571427,1406302.7142857143
2022-02-06,530293.7,OK,2186758.285714286,772522.7142857143
2022-02-06,530293.7,OH,6652976.285714285,3286314.5714285714
2022-02-06,530293.7,NY,14460203.42857143,5945273.0
2022-02-06,530293.7,NV,1806234.0,646716.4285714285
2022-02-06,530293.7,NH,937304.7142857143,183219.14285714287
2022-02-06,530293.7,NJ,6483783.428571428,2762998.714285714
2022-02-06,530293.7,NE,1193155.7142857143,560395.4285714285
2022-02-06,530293.7,ND,411727.28571428574,163773.85714285713
2022-02-06,530293.7,NC,6142073.714285715,1484115.2857142857
2022-02-06,530293.7,NM,1436410.0,663643.1428571428
2022-02-06,530293.7,PR,2545354.714285714,1129632.4285714286
2022-02-06,530293.7,MT,591489.4285714285,265997.5714285714
2022-02-06,530293.7,SC,2833913.0,1050176.857142857
2022-02-06,530293.7,SD,522217.71428571426,203704.0
2022-02-06,530293.7,TN,3608540.5714285714,1466635.7142857143
2022-02-06,530293.7,TX,17114669.85714286,5900078.857142857
2022-02-06,530293.7,UT,1951814.7142857143,743201.4285714285
2022-02-06,530293.7,VA,6035962.857142857,2614420.4285714286
2022-02-06,530293.7,VI,55346.71428571428,15081.142857142857
2022-02-06,530293.7,VT,496050.85714285716,284000.28571428574
2022-02-06,530293.7,WA,5340548.0,2547085.714285714
2022-02-06,530293.7,WI,3710495.714285714,1961230.4285714286
2022-02-06,530293.7,WV,1008115.8571428572,432077.4285714286
2022-02-06,530293.7,WY,288973.14285714284,117198.71428571429
2022-02-06,530293.7,RI,839320.2857142857,419153.85714285716
2022-02-06,530293.7,MS,1494372.5714285714,517739.85714285716
2022-02-06,530293.7,AK,432936.4285714286,172739.7142857143
2022-02-06,530293.7,MO,3342798.4285714286,1327394.142857143
2022-02-06,530293.7,MP,42149.142857142855,17385.0
2022-02-06,530293.7,AL,2429666.4285714286,806201.0
2022-02-06,530293.7,AR,1593444.142857143,580805.4285714285
2022-02-06,530293.7,AS,37453.0,5151.857142857143
2022-02-06,530293.7,AZ,4293455.571428572,1620096.857142857
2022-02-06,530293.7,CA,27358127.714285713,12538656.42857143
2022-02-06,530293.7,CO,3935170.4285714286,1897745.2857142857
2022-02-06,530293.7,DC,495442.14285714284,163596.0
2022-02-06,530293.7,DE,646661.2857142857,271943.85714285716
2022-02-06,530293.7,FL,14004326.142857144,5218428.714285715
2022-02-06,530293.7,GA,5626018.0,1896775.857142857
2022-02-06,530293.7,GU,131353.2857142857,44818.0
2022-02-06,530293.7,CT,2736331.5714285714,1293039.857142857
2022-02-06,530293.7,IA,1908268.2857142857,960019.7142857143
2022-02-06,530293.7,MN,3789685.8571428573,2056924.4285714286
2022-02-06,530293.7,HI,0.0,0.0
2022-02-06,530293.7,MI,5824689.714285715,2839147.4285714286
2022-02-06,530293.7,ME,1043497.4285714285,545609.0
2022-02-06,530293.7,MD,4401576.857142857,2052665.5714285714
2022-02-06,530293.7,LA,2412893.714285714,884889.1428571428
2022-02-06,530293.7,MA,5277617.857142857,2523301.714285714
2022-02-06,530293.7,KS,1725564.0,688588.8571428572
2022-02-06,530293.7,IN,3590939.0,1539754.0
2022-02-06,530293.7,IL,8413574.142857144,4007550.4285714286
2022-02-06,530293.7,ID,935225.2857142857,372081.0
2022-02-06,530293.7,KY,2491944.4285714286,1037154.1428571428
2022-02-13,525369.6,NY,14542660.857142856,6095829.714285715
2022-02-13,525369.6,OR,2876268.4285714286,1436703.857142857
2022-02-13,525369.6,OK,2195656.0,781835.7142857143
2022-02-13,525369.6,OH,6679080.285714285,3318941.5714285714
2022-02-13,525369.6,NV,1816651.7142857143,659689.2857142857
2022-02-13,525369.6,NC,6171124.857142857,1514284.142857143
2022-02-13,525369.6,NJ,6529442.0,2837451.0
2022-02-13,525369.6,NH,941416.7142857143,189190.85714285713
2022-02-13,525369.6,NE,1198734.857142857,569014.2857142857
2022-02-13,525369.6,ND,412751.4285714286,165105.0
2022-02-13,525369.6,PA,8488895.57142857,3427516.0
2022-02-13,525369.6,NM,1443797.142857143,675371.2857142857
2022-02-13,525369.6,PR,2562102.4285714286,1215848.4285714286
2022-02-13,525369.6,WY,290160.71428571426,118760.28571428571
2022-02-13,525369.6,SC,2845441.5714285714,1067030.7142857143
2022-02-13,525369.6,SD,524827.5714285715,206902.85714285713
2022-02-13,525369.6,TN,3621713.4285714286,1489384.2857142857
2022-02-13,525369.6,TX,17205981.42857143,6010312.285714285
2022-02-13,525369.6,UT,1992514.0,811686.5714285715
2022-02-13,525369.6,VA,6074425.714285715,2695142.285714286
2022-02-13,525369.6,VI,55558.57142857143,15347.57142857143
2022-02-13,525369.6,VT,497475.71428571426,287066.85714285716
2022-02-13,525369.6,WA,5363444.857142857,2611157.1428571427
2022-02-13,525369.6,WI,3728509.4285714286,1993849.142857143
2022-02-13,525369.6,WV,1011297.1428571428,438331.5714285714
2022-02-13,525369.6,MT,593456.8571428572,269923.0
2022-02-13,525369.6,RI,844244.8571428572,425076.14285714284
2022-02-13,525369.6,MS,1501505.857142857,526642.5714285715
2022-02-13,525369.6,MP,42377.28571428572,18043.85714285714
2022-02-13,525369.6,MO,3354161.714285714,1342204.7142857143
2022-02-13,525369.6,AL,2440578.285714286,819149.2857142857
2022-02-13,525369.6,AR,1600025.857142857,590804.0
2022-02-13,525369.6,AS,37845.57142857143,5480.0
2022-02-13,525369.6,AZ,4322319.285714285,1662425.142857143
2022-02-13,525369.6,CA,27504937.714285713,12852767.42857143
2022-02-13,525369.6,CO,3953513.714285714,1932312.7142857143
2022-02-13,525369.6,CT,2750688.5714285714,1324135.2857142857
2022-02-13,525369.6,DC,498218.28571428574,167296.7142857143
2022-02-13,525369.6,DE,650462.4285714285,278625.14285714284
2022-02-13,525369.6,FL,14058102.0,5294895.285714285
2022-02-13,525369.6,GA,5651790.0,1927547.2857142857
2022-02-13,525369.6,GU,132452.85714285713,47656.0
2022-02-13,525369.6,AK,438174.5714285714,177599.0
2022-02-13,525369.6,IA,1914504.4285714286,972959.5714285715
2022-02-13,525369.6,MN,3809310.5714285714,2093415.857142857
2022-02-13,525369.6,MI,5856098.428571428,2906075.5714285714
2022-02-13,525369.6,ME,1046945.1428571428,552395.2857142857
2022-02-13,525369.6,HI,0.0,0.0
2022-02-13,525369.6,MA,5302143.285714285,2562783.285714286
2022-02-13,525369.6,MD,4426528.142857143,2098880.5714285714
2022-02-13,525369.6,KY,2501056.5714285714,1049746.4285714286
2022-02-13,525369.6,KS,1734145.0,700371.1428571428
2022-02-13,525369.6,IN,3606092.1428571427,1558533.7142857143
2022-02-13,525369.6,IL,8450751.42857143,4070851.714285714
2022-02-13,525369.6,ID,939056.4285714285,377686.5714285714
2022-02-13,525369.6,LA,2424833.1428571427,902095.1428571428
2022-02-20,518017.6,OK,2206518.0,792021.7142857143
2022-02-20,518017.6,OH,6704560.142857143,3351592.285714286
2022-02-20,518017.6,NY,14612081.285714285,6249179.714285715
2022-02-20,518017.6,NV,1827634.7142857143,670771.1428571428
2022-02-20,518017.6,NC,6194461.428571428,1538326.7142857143
2022-02-20,518017.6,NJ,6559949.428571428,2892463.1428571427
2022-02-20,518017.6,NH,945417.1428571428,194629.14285714287
2022-02-20,518017.6,NE,1203152.857142857,575145.1428571428
2022-02-20,518017.6,ND,413761.71428571426,165988.2857142857
2022-02-20,518017.6,OR,2885795.8571428573,1460014.2857142857
2022-02-20,518017.6,NM,1451645.4285714286,686567.5714285715
2022-02-20,518017.6,PA,8526290.142857144,3470304.285714286
2022-02-20,518017.6,UT,2019452.5714285714,853796.7142857143
2022-02-20,518017.6,RI,849427.8571428572,431669.0
2022-02-20,518017.6,SC,2856161.4285714286,1079779.4285714286
2022-02-20,518017.6,SD,527064.4285714285,209145.57142857142
2022-02-20,518017.6,TN,3637502.4285714286,1515065.0
2022-02-20,518017.6,TX,17294599.85714286,6109061.285714285
2022-02-20,518017.6,VA,6114030.571428572,2763567.8571428573
2022-02-20,518017.6,VI,55756.857142857145,15578.57142857143
2022-02-20,518017.6,VT,498852.85714285716,289711.4285714286
2022-02-20,518017.6,WA,5400233.0,2660587.1428571427
2022-02-20,518017.6,WI,3743073.1428571427,2016714.2857142857
2022-02-20,518017.6,WV,1014112.4285714285,443562.0
2022-02-20,518017.6,MT,595368.0,272997.85714285716
2022-02-20,518017.6,PR,2579038.0,1282063.7142857143
2022-02-20,518017.6,MS,1507551.2857142857,533870.0
2022-02-20,518017.6,WY,291536.14285714284,120305.57142857143
2022-02-20,518017.6,MO,3367576.285714286,1360225.857142857
2022-02-20,518017.6,AK,442205.0,179945.14285714287
2022-02-20,518017.6,AL,2450944.0,829941.2857142857
2022-02-20,518017.6,AR,1606831.5714285714,599010.4285714285
2022-02-20,518017.6,AS,38024.28571428572,5841.142857142857
2022-02-20,518017.6,AZ,4345415.857142857,1693131.7142857143
2022-02-20,518017.6,CA,27651541.0,13082355.57142857
2022-02-20,518017.6,CO,3968711.0,1959662.0
2022-02-20,518017.6,CT,2761852.5714285714,1345994.4285714286
2022-02-20,518017.6,DC,501026.5714285714,170834.2857142857
2022-02-20,518017.6,DE,653713.0,282918.5714285714
2022-02-20,518017.6,FL,14104762.57142857,5355658.857142857
2022-02-20,518017.6,GA,5668617.0,1956328.7142857143
2022-02-20,518017.6,GU,133630.57142857142,49860.28571428572
2022-02-20,518017.6,MP,42556.28571428572,18482.714285714286
2022-02-20,518017.6,IA,1920578.0,983168.4285714285
2022-02-20,518017.6,HI,0.0,0.0
2022-02-20,518017.6,MN,3825008.4285714286,2117667.8571428573
2022-02-20,518017.6,MI,5882736.142857143,2969562.8571428573
2022-02-20,518017.6,ME,1050329.857142857,558713.8571428572
2022-02-20,518017.6,MA,5327636.142857143,2600691.714285714
2022-02-20,518017.6,MD,4449692.142857143,2136349.714285714
2022-02-20,518017.6,KY,2511308.0,1063000.857142857
2022-02-20,518017.6,KS,1742504.4285714286,710305.8571428572
2022-02-20,518017.6,IN,3622101.714285714,1577837.7142857143
2022-02-20,518017.6,IL,8492745.0,4132207.714285714
2022-02-20,518017.6,ID,943540.7142857143,381967.4285714286
2022-02-20,518017.6,LA,2433415.0,912632.2857142857
2022-02-27,513281.5,NV,1835726.4285714286,678434.7142857143
2022-02-27,513281.5,OK,2214336.5714285714,799655.4285714285
2022-02-27,513281.5,OH,6724465.714285715,3380225.8571428573
2022-02-27,513281.5,NY,14667145.857142856,6396057.0
2022-02-27,513281.5,NM,1457732.4285714286,695324.8571428572
2022-02-27,513281.5,MT,597108.5714285715,275368.28571428574
2022-02-27,513281.5,NH,937474.2857142857,197729.85714285713
2022-02-27,513281.5,NE,1207035.4285714286,580512.4285714285
2022-02-27,513281.5,ND,414558.85714285716,166585.7142857143
2022-02-27,513281.5,NC,6215064.428571428,1558073.857142857
2022-02-27,513281.5,OR,2892995.4285714286,1475882.142857143
2022-02-27,513281.5,NJ,6583798.0,2945681.285714286
2022-02-27,513281.5,PA,8558569.857142856,3511131.5714285714
2022-02-27,513281.5,TX,17373992.714285713,6189158.0
2022-02-27,513281.5,RI,853164.7142857143,436746.85714285716
2022-02-27,513281.5,SC,2871068.5714285714,1095022.857142857
2022-02-27,513281.5,SD,528828.1428571428,210895.7142857143
2022-02-27,513281.5,TN,3653592.1428571427,1539008.857142857
2022-02-27,513281.5,UT,2025764.0,863135.1428571428
2022-02-27,513281.5,VA,6135648.571428572,2791549.0
2022-02-27,513281.5,VI,55892.57142857143,15737.714285714286
2022-02-27,513281.5,VT,499688.71428571426,291713.4285714286
2022-02-27,513281.5,WA,5429871.428571428,2698843.8571428573
2022-02-27,513281.5,WI,3754032.0,2033892.5714285714
2022-02-27,513281.5,WV,1016298.5714285715,447313.85714285716
2022-02-27,513281.5,MS,1512867.2857142857,539650.8571428572
2022-02-27,513281.5,PR,2593956.5714285714,1337612.4285714286
2022-02-27,513281.5,WY,292470.85714285716,121374.57142857143
2022-02-27,513281.5,MP,42726.28571428572,18870.285714285714
2022-02-27,513281.5,MN,3838727.5714285714,2136142.1428571427
2022-02-27,513281.5,MO,3377608.0,1374096.5714285714
2022-02-27,513281.5,AK,445414.28571428574,181742.57142857142
2022-02-27,513281.5,AL,2459583.8571428573,839875.0
2022-02-27,513281.5,AR,1612314.0,606589.1428571428
2022-02-27,513281.5,AS,38180.71428571428,6361.142857142857
2022-02-27,513281.5,AZ,4365222.0,1717738.142857143
2022-02-27,513281.5,CA,27778124.285714287,13275554.42857143
2022-02-27,513281.5,CT,2770262.1428571427,1363389.4285714286
2022-02-27,513281.5,DC,503466.5714285714,173730.0
2022-02-27,513281.5,DE,656840.1428571428,286474.4285714286
2022-02-27,513281.5,FL,14143025.42857143,5404979.142857143
2022-02-27,513281.5,GA,5684421.0,1982326.0
2022-02-27,513281.5,CO,3981024.0,1980532.2857142857
2022-02-27,513281.5,HI,0.0,0.0
2022-02-27,513281.5,GU,134714.14285714287,51890.142857142855
2022-02-27,513281.5,ME,1052455.5714285714,563328.0
2022-02-27,513281.5,MD,4468475.571428572,2163717.0
2022-02-27,513281.5,MA,5344231.714285715,2630296.714285714
2022-02-27,513281.5,LA,2439410.8571428573,920421.4285714285
2022-02-27,513281.5,KY,2518740.285714286,1073154.5714285714
2022-02-27,513281.5,MI,5906098.714285715,3027826.8571428573
2022-02-27,513281.5,IN,3633065.285714286,1592996.5714285714
2022-02-27,513281.5,IL,8530157.285714285,4176165.285714286
2022-02-27,513281.5,ID,947366.8571428572,385337.14285714284
2022-02-27,513281.5,IA,1925653.142857143,991100.8571428572
2022-02-27,513281.5,KS,1748581.2857142857,717476.2857142857
2022-03-06,509419.8,OR,2899865.8571428573,1491946.5714285714
2022-03-06,509419.8,OK,2219386.1428571427,805214.7142857143
2022-03-06,509419.8,OH,6740689.428571428,3405220.8571428573
2022-03-06,509419.8,NY,14709654.142857144,6485185.571428572
2022-03-06,509419.8,NV,1841247.142857143,684907.4285714285
2022-03-06,509419.8,NH,935628.2857142857,214895.42857142858
2022-03-06,509419.8,NJ,6604569.285714285,2995783.5714285714
