date,state,inpatient_beds
2022-02-20,AS,56.6
2022-02-20,AZ,10853.6
2022-02-20,CA,47740.0
2022-02-20,CO,6956.4
2022-02-20,CT,5813.8
2022-02-20,DC,2242.8
2022-02-20,DE,1976.4999999999998
2022-02-20,FL,42713.7
2022-02-20,GA,15057.6
2022-02-20,GU,212.4
2022-02-20,HI,1901.1
2022-02-20,IA,4538.5
2022-02-20,ID,1921.3
2022-02-20,IL,19521.4
2022-02-20,IN,10656.8
2022-02-20,KS,4782.5
2022-02-20,KY,7589.6
2022-02-20,LA,8519.6
2022-02-20,MA,13113.5
2022-02-20,MD,8098.7
2022-02-20,ME,2083.7
2022-02-20,MI,15753.6
2022-02-20,MN,7353.5
2022-02-20,MO,11925.4
2022-02-20,MP,47.7
2022-02-20,MS,5168.2
2022-02-20,MT,1674.5
2022-02-20,NC,16622.3
2022-02-20,ND,1423.2
2022-02-20,NE,3027.7
2022-02-20,NH,2038.4
2022-02-20,NJ,13735.8
2022-02-20,NM,2729.4
2022-02-20,NV,5532.6
2022-02-20,NY,33455.1
2022-02-20,OH,20141.6
2022-02-20,OK,6092.0
2022-02-20,OR,5314.9
2022-02-20,PA,22744.9
2022-02-20,PR,4815.1
2022-02-20,RI,1722.6
2022-02-20,SC,7774.4
2022-02-20,SD,1291.1
2022-02-20,TN,12587.1
2022-02-20,TX,44627.4
2022-02-20,UT,3440.7000000000003
2022-02-20,VA,11882.9
2022-02-20,VI,100.80000000000001
2022-02-20,VT,818.8
2022-02-20,WA,9125.0
2022-02-20,WI,7602.5
2022-02-20,WV,3839.5
2022-02-20,WY,574.7
2022-02-27,AK,1097.4
2022-02-27,AL,9955.0
2022-02-27,AR,5493.8
2022-02-27,AS,52.7
2022-02-27,AZ,10807.9
2022-02-27,CA,47431.0
2022-02-27,CO,6871.3
2022-02-27,CT,5725.200000000001
2022-02-27,DC,2253.0
2022-02-27,DE,1933.9
2022-02-27,FL,41845.3
2022-02-27,GA,15004.9
2022-02-27,GU,211.3
2022-02-27,HI,1876.5
2022-02-27,IA,4497.3
2022-02-27,ID,1923.8
2022-02-27,IL,19425.9
2022-02-27,IN,10627.4
2022-02-27,KS,4721.1
2022-02-27,KY,7506.9
2022-02-27,LA,8062.7
2022-02-27,MA,13144.2
2022-02-27,MD,8069.7
2022-02-27,ME,2092.1
2022-02-27,MI,15570.1
2022-02-27,MN,7462.6
2022-02-27,MO,11734.9
2022-02-27,MP,47.0
2022-02-27,MS,4992.6
2022-02-27,MT,1674.6
2022-02-27,NC,16233.3
2022-02-27,ND,1408.0
2022-02-27,NE,3041.5
2022-02-27,NH,2039.7
2022-02-27,NJ,13624.2
2022-02-27,NM,2666.6
2022-02-27,NV,5449.6
2022-02-27,NY,33507.0
2022-02-27,OH,19887.0
2022-02-27,OK,5991.8
2022-02-27,OR,5311.2
2022-02-27,PA,22670.0
2022-02-27,PR,5043.5
2022-02-27,RI,1688.2
2022-02-27,SC,7570.900000000001
2022-02-27,SD,1271.3999999999999
2022-02-27,TN,12429.8
2022-02-27,TX,43986.1
2022-02-27,UT,3636.7000000000003
2022-02-27,VA,11584.2
2022-02-27,VI,106.30000000000001
2022-02-27,VT,819.4000000000001
2022-02-27,WA,9088.9
2022-02-27,WI,7734.7
2022-02-27,WV,3819.6
2022-02-27,WY,559.8
2022-03-06,AK,1047.6
2022-03-06,AL,9804.0
2022-03-06,AR,5524.2
2022-03-06,AS,64.3
2022-03-06,AZ,10535.9
2022-03-06,CA,46750.1
2022-03-06,CO,6885.099999999999
2022-03-06,CT,5761.8
2022-03-06,DC,2264.9
2022-03-06,DE,1886.8
2022-03-06,FL,41477.4
2022-03-06,GA,14794.699999999999
2022-03-06,GU,212.6
2022-03-06,HI,1894.2
2022-03-06,IA,4495.4
2022-03-06,ID,1860.3
2022-03-06,IL,19367.3
2022-03-06,IN,10577.9
2022-03-06,KS,4635.599999999999
2022-03-06,KY,7356.5
2022-03-06,LA,8258.4
2022-03-06,MA,13120.0
2022-03-06,MD,8048.3
2022-03-06,ME,2099.2
2022-03-06,MI,15453.4
2022-03-06,MN,7362.5
2022-03-06,MO,11687.4
2022-03-06,MP,56.1
2022-03-06,MS,4992.3
2022-03-06,MT,1672.7
2022-03-06,NC,16201.3
2022-03-06,ND,1436.4
2022-03-06,NE,2957.7
2022-03-06,NH,1997.9
2022-03-06,NJ,13674.3
2022-03-06,NM,2541.4
2022-03-06,NV,5328.0
2022-03-06,NY,33480.1
2022-03-06,OH,19776.3
2022-03-06,OK,6013.2
2022-03-06,OR,5278.2
2022-03-06,PA,22373.7
2022-03-06,PR,4978.2
2022-03-06,RI,1715.3
2022-03-06,SC,7473.2
2022-03-06,SD,1216.3
2022-03-06,TN,12500.4
2022-03-06,TX,43548.2
2022-03-06,UT,3652.4
2022-03-06,VA,11363.1
2022-03-06,VI,106.2
2022-03-06,VT,805.4
2022-03-06,WA,8955.4
2022-03-06,WI,7720.5
2022-03-06,WV,3828.5
2022-03-06,WY,551.3000000000001
2022-03-13,AK,1058.9
2022-03-13,AL,9699.4
2022-03-13,AR,5456.1
2022-03-13,AS,59.4
2022-03-13,AZ,10357.3
2022-03-13,CA,46527.9
2022-03-13,CO,6795.9
2022-03-13,CT,5647.3
2022-03-13,DC,2198.3
2022-03-13,DE,1899.2
2022-03-13,FL,40646.5
2022-03-13,GA,14544.0
2022-03-13,GU,219.6
2022-03-13,HI,1845.0
2022-03-13,IA,4417.900000000001
2022-03-13,ID,1834.6
2022-03-13,IL,19231.7
2022-03-13,IN,10554.1
2022-03-13,KS,4412.6
2022-03-13,KY,7299.1
2022-03-13,LA,8109.0
2022-03-13,MA,13098.0
2022-03-13,MD,8013.5
2022-03-13,ME,2082.8
2022-03-13,MI,15577.4
2022-03-13,MN,7400.400000000001
2022-03-13,MO,11545.300000000001
2022-03-13,MP,50.7
2022-03-13,MS,4837.1
2022-03-13,MT,1594.2
2022-03-13,NC,16058.5
2022-03-13,ND,1401.8
2022-03-13,NE,2948.4
2022-03-13,NH,2027.8
2022-03-13,NJ,13592.4
2022-03-13,NM,2527.6
2022-03-13,NV,5265.2
2022-03-13,NY,33389.8
2022-03-13,OH,19422.4
2022-03-13,OK,5783.5
2022-03-13,OR,5255.2
2022-03-13,PA,22254.5
2022-03-13,PR,4963.5
2022-03-13,RI,1688.1
2022-03-13,SC,7335.8
2022-03-13,SD,1240.5
2022-03-13,TN,12158.2
2022-03-13,TX,41916.5
2022-03-13,UT,3687.2
2022-03-13,VA,11357.7
2022-03-13,VI,100.4
2022-03-13,VT,790.8
2022-03-13,WA,8910.0
2022-03-13,WI,7544.8
2022-03-13,WV,3732.8
2022-03-13,WY,541.1
2022-03-20,AK,1037.5
2022-03-20,AL,9726.7
2022-03-20,AR,5220.1
2022-03-20,AS,70.3
2022-03-20,AZ,10335.1
2022-03-20,CA,46003.6
2022-03-20,CO,6699.0
2022-03-20,CT,5675.0
2022-03-20,DC,2215.1
2022-03-20,DE,1944.8
2022-03-20,FL,41165.6
2022-03-20,GA,14646.9
2022-03-20,GU,215.6
2022-03-20,HI,1804.7
2022-03-20,IA,4357.2
2022-03-20,ID,1812.2
2022-03-20,IL,19083.4
2022-03-20,IN,10543.2
2022-03-20,KS,4433.1
2022-03-20,KY,7270.7
2022-03-20,LA,8041.3
2022-03-20,MA,13217.1
2022-03-20,MD,8074.7
2022-03-20,ME,2068.1
2022-03-20,MI,15667.2
2022-03-20,MN,7393.599999999999
2022-03-20,MO,11619.2
2022-03-20,MP,51.3
2022-03-20,MS,4897.7
2022-03-20,MT,1606.8
2022-03-20,NC,16038.6
2022-03-20,ND,1412.8
2022-03-20,NE,2982.4
2022-03-20,NH,2038.1
2022-03-20,NJ,13599.0
2022-03-20,NM,2596.3
2022-03-20,NV,5318.1
2022-03-20,NY,33394.6
2022-03-20,OH,19434.5
2022-03-20,OK,5876.2
2022-03-20,OR,5155.6
2022-03-20,PA,22435.7
2022-03-20,PR,5004.8
2022-03-20,RI,1488.7
2022-03-20,SC,7390.4
