state,date,series_complete_yes,booster_doses
HI,2022-03-20,0.0,0.0
HI,2022-03-27,0.0,0.0
HI,2022-04-03,0.0,0.0
IA,2022-01-02,1862206.0,831903.0
IA,2022-01-09,1869513.2857142857,858499.8571428572
IA,2022-01-16,1878952.0,891223.8571428572
IA,2022-01-23,1890627.142857143,919457.7142857143
IA,2022-01-30,1900240.142857143,942992.4285714285
IA,2022-02-06,1908268.2857142857,960019.7142857143
IA,2022-02-13,1914504.4285714286,972959.5714285715
IA,2022-02-20,1920578.0,983168.4285714285
IA,2022-02-27,1925653.142857143,991100.8571428572
IA,2022-03-06,1930008.2857142857,997819.8571428572
IA,2022-03-13,1933552.857142857,1003317.5714285715
IA,2022-03-20,1936607.2857142857,1007945.0
IA,2022-03-27,1939162.0,1012438.8571428572
IA,2022-04-03,1941101.0,1016320.25
ID,2022-01-02,826750.0,317324.0
ID,2022-01-09,828833.5714285715,326363.0
ID,2022-01-16,832323.4285714285,340908.14285714284
ID,2022-01-23,845980.1428571428,354484.71428571426
ID,2022-01-30,919579.1428571428,364788.85714285716
ID,2022-02-06,935225.2857142857,372081.0
ID,2022-02-13,939056.4285714285,377686.5714285714
ID,2022-02-20,943540.7142857143,381967.4285714286
ID,2022-02-27,947366.8571428572,385337.14285714284
ID,2022-03-06,950663.5714285715,388574.4285714286
ID,2022-03-13,952661.8571428572,391085.14285714284
ID,2022-03-20,954766.7142857143,393212.5714285714
ID,2022-03-27,956514.4285714285,395309.4285714286
ID,2022-04-03,957839.25,396801.0
IL,2022-01-02,8133163.0,3157303.0
IL,2022-01-09,8182144.857142857,3315515.8571428573
IL,2022-01-16,8239610.0,3533882.285714286
IL,2022-01-23,8296465.428571428,3725711.4285714286
IL,2022-01-30,8351727.0,3885494.8571428573
IL,2022-02-06,8413574.142857144,4007550.4285714286
IL,2022-02-13,8450751.42857143,4070851.714285714
IL,2022-02-20,8492745.0,4132207.714285714
IL,2022-02-27,8530157.285714285,4176165.285714286
IL,2022-03-06,8563312.57142857,4216932.0
IL,2022-03-13,8590407.57142857,4250007.0
IL,2022-03-20,8608010.714285715,4279536.285714285
IL,2022-03-27,8627369.57142857,4311650.285714285
IL,2022-04-03,8642148.25,4334032.25
IN,2022-01-02,3504434.0,1247080.0
IN,2022-01-09,3512436.4285714286,1280254.7142857143
IN,2022-01-16,3533928.0,1373471.857142857
IN,2022-01-23,3557393.8571428573,1458590.2857142857
IN,2022-01-30,3573607.8571428573,1506646.7142857143
IN,2022-02-06,3590939.0,1539754.0
IN,2022-02-13,3606092.1428571427,1558533.7142857143
IN,2022-02-20,3622101.714285714,1577837.7142857143
IN,2022-02-27,3633065.285714286,1592996.5714285714
IN,2022-03-06,3642432.0,1608473.142857143
IN,2022-03-13,3650766.8571428573,1620285.7142857143
IN,2022-03-20,3658093.4285714286,1631029.7142857143
IN,2022-03-27,3663997.285714286,1641311.5714285714
IN,2022-04-03,3668301.5,1649276.5
KS,2022-01-02,1663083.0,561913.0
KS,2022-01-09,1669967.5714285714,583984.2857142857
KS,2022-01-16,1681427.2857142857,618976.0
KS,2022-01-23,1701482.142857143,648723.5714285715
KS,2022-01-30,1715888.5714285714,672741.4285714285
KS,2022-02-06,1725564.0,688588.8571428572
KS,2022-02-13,1734145.0,700371.1428571428
KS,2022-02-20,1742504.4285714286,710305.8571428572
KS,2022-02-27,1748581.2857142857,717476.2857142857
KS,2022-03-06,1755768.2857142857,724759.1428571428
KS,2022-03-13,1762727.2857142857,732220.7142857143
KS,2022-03-20,1766249.0,737440.1428571428
KS,2022-03-27,1769126.0,741877.1428571428
KS,2022-04-03,1771009.0,744753.0
KY,2022-01-02,2427182.0,872856.0
KY,2022-01-09,2434697.285714286,899744.7142857143
KY,2022-01-16,2446998.285714286,944576.0
KY,2022-01-23,2467261.0,986476.1428571428
KY,2022-01-30,2481522.1428571427,1015690.8571428572
KY,2022-02-06,2491944.4285714286,1037154.1428571428
KY,2022-02-13,2501056.5714285714,1049746.4285714286
KY,2022-02-20,2511308.0,1063000.857142857
KY,2022-02-27,2518740.285714286,1073154.5714285714
KY,2022-03-06,2523365.0,1079595.7142857143
KY,2022-03-13,2531181.5714285714,1090580.7142857143
KY,2022-03-20,2537413.714285714,1098556.4285714286
KY,2022-03-27,2541682.0,1104558.0
KY,2022-04-03,2545612.0,1109539.75
LA,2022-01-02,2342010.0,734754.0
LA,2022-01-09,2349676.8571428573,761004.0
LA,2022-01-16,2363435.1428571427,807377.8571428572
LA,2022-01-23,2384764.0,841848.0
LA,2022-01-30,2400373.714285714,865407.2857142857
LA,2022-02-06,2412893.714285714,884889.1428571428
LA,2022-02-13,2424833.1428571427,902095.1428571428
LA,2022-02-20,2433415.0,912632.2857142857
LA,2022-02-27,2439410.8571428573,920421.4285714285
LA,2022-03-06,2445986.4285714286,929205.4285714285
LA,2022-03-13,2454204.285714286,938182.2857142857
LA,2022-03-20,2462316.8571428573,946562.0
LA,2022-03-27,2467956.714285714,953411.1428571428
LA,2022-04-03,2471279.75,957646.5
MA,2022-01-02,5138321.0,2015198.0
MA,2022-01-09,5153546.857142857,2090648.4285714286
MA,2022-01-16,5185756.571428572,2243572.285714286
MA,2022-01-23,5224783.285714285,2373040.714285714
MA,2022-01-30,5254082.0,2463803.8571428573
MA,2022-02-06,5277617.857142857,2523301.714285714
MA,2022-02-13,5302143.285714285,2562783.285714286
MA,2022-02-20,5327636.142857143,2600691.714285714
MA,2022-02-27,5344231.714285715,2630296.714285714
MA,2022-03-06,5354655.0,2654998.5714285714
MA,2022-03-13,5366280.857142857,2674385.4285714286
MA,2022-03-20,5375025.857142857,2689416.285714286
MA,2022-03-27,5380523.714285715,2703273.5714285714
MA,2022-04-03,5385324.75,2712466.25
MD,2022-01-02,4260396.0,1619598.0
MD,2022-01-09,4275560.714285715,1685215.857142857
MD,2022-01-16,4311972.285714285,1809018.4285714286
MD,2022-01-23,4350617.428571428,1917773.4285714286
MD,2022-01-30,4376900.142857143,1994612.142857143
MD,2022-02-06,4401576.857142857,2052665.5714285714
MD,2022-02-13,4426528.142857143,2098880.5714285714
MD,2022-02-20,4449692.142857143,2136349.714285714
MD,2022-02-27,4468475.571428572,2163717.0
MD,2022-03-06,4483960.428571428,2190293.8571428573
MD,2022-03-13,4493388.0,2209243.8571428573
MD,2022-03-20,4501251.857142857,2223962.285714286
MD,2022-03-27,4510862.285714285,2239422.714285714
MD,2022-04-03,4524607.0,2255366.0
ME,2022-01-02,1020346.0,454160.0
ME,2022-01-09,1023984.0,471222.71428571426
ME,2022-01-16,1029865.8571428572,499014.0
ME,2022-01-23,1035767.8571428572,520571.71428571426
ME,2022-01-30,1040473.5714285715,537170.2857142857
ME,2022-02-06,1043497.4285714285,545609.0
ME,2022-02-13,1046945.1428571428,552395.2857142857
ME,2022-02-20,1050329.857142857,558713.8571428572
ME,2022-02-27,1052455.5714285714,563328.0
ME,2022-03-06,1054094.857142857,567141.8571428572
ME,2022-03-13,1055650.7142857143,570682.2857142857
ME,2022-03-20,1056717.0,573800.1428571428
ME,2022-03-27,1057697.0,576648.7142857143
ME,2022-04-03,1058770.0,578789.25
MI,2022-01-02,5679420.0,2378835.0
MI,2022-01-09,5701662.285714285,2461909.285714286
MI,2022-01-16,5737493.714285715,2595294.5714285714
MI,2022-01-23,5770263.0,2700857.4285714286
MI,2022-01-30,5797877.714285715,2776103.8571428573
MI,2022-02-06,5824689.714285715,2839147.4285714286
MI,2022-02-13,5856098.428571428,2906075.5714285714
MI,2022-02-20,5882736.142857143,2969562.8571428573
MI,2022-02-27,5906098.714285715,3027826.8571428573
MI,2022-03-06,5923772.428571428,3090125.1428571427
